"date","USD_JPY"
"1996-11-01","113.5"
"1996-12-01","113.800003051758"
"1997-01-01","115.849998474121"
"1997-02-01","121.25"
"1997-03-01","120.300003051758"
"1997-04-01","123.120002746582"
"1997-05-01","126.650001525879"
"1997-06-01","116.650001525879"
"1997-07-01","114.449996948242"
"1997-08-01","118.400001525879"
"1997-09-01","121.75"
"1997-10-01","121.650001525879"
"1997-11-01","120.319999694824"
"1997-12-01","128.759994506836"
"1998-01-01","130.479995727539"
"1998-02-01","127"
"1998-03-01","126.050003051758"
"1998-04-01","133.559997558594"
"1998-05-01","133.410003662109"
"1998-06-01","138.619995117188"
"1998-07-01","140.440002441406"
"1998-08-01","144.75"
"1998-09-01","138.25"
"1998-10-01","135.600006103516"
"1998-11-01","115.769996643066"
"1998-12-01","121.819999694824"
"1999-01-01","113.459999084473"
"1999-02-01","115.050003051758"
"1999-03-01","119.720001220703"
"1999-04-01","120.449996948242"
"1999-05-01","119.370002746582"
"1999-06-01","121.610000610352"
"1999-07-01","120.959999084473"
"1999-08-01","114.449996948242"
"1999-09-01","109.319999694824"
"1999-10-01","105.120002746582"
"1999-11-01","104.040000915527"
"1999-12-01","102.610000610352"
"2000-01-01","102.180000305176"
"2000-02-01","107.73999786377"
"2000-03-01","106.940002441406"
"2000-04-01","102.959999084473"
"2000-05-01","108.449996948242"
"2000-06-01","107.949996948242"
"2000-07-01","106.01000213623"
"2000-08-01","108.680000305176"
"2000-09-01","105.949996948242"
"2000-10-01","108.730003356934"
"2000-11-01","108.25"
"2000-12-01","111.190002441406"
"2001-01-01","114.569999694824"
"2001-02-01","115.419998168945"
"2001-03-01","117.5"
"2001-04-01","126.639999389648"
"2001-05-01","121.529998779297"
"2001-06-01","119.209999084473"
"2001-07-01","123.970001220703"
"2001-08-01","123.720001220703"
"2001-09-01","118.75"
"2001-10-01","120.610000610352"
"2001-11-01","121.970001220703"
"2001-12-01","123.449996948242"
"2002-01-01","131.929992675781"
"2002-02-01","133.100006103516"
"2002-03-01","133.320007324219"
"2002-04-01","133.130004882812"
"2002-05-01","127.809997558594"
"2002-06-01","124.059997558594"
"2002-07-01","120"
"2002-08-01","118.769996643066"
"2002-09-01","117.98999786377"
"2002-10-01","122.76000213623"
"2002-11-01","122.150001525879"
"2002-12-01","122.470001220703"
"2003-01-01","118.709999084473"
"2003-02-01","119.910003662109"
"2003-03-01","118.089996337891"
"2003-04-01","119.139999389648"
"2003-05-01","119.029998779297"
"2003-06-01","118.650001525879"
"2003-07-01","118.150001525879"
"2003-08-01","120.129997253418"
"2003-09-01","116.440002441406"
"2003-10-01","110.870002746582"
"2003-11-01","110"
"2003-12-01","109.169998168945"
"2004-01-01","107.300003051758"
"2004-02-01","105.720001220703"
"2004-03-01","108.910003662109"
"2004-04-01","104.610000610352"
"2004-05-01","110.370002746582"
"2004-06-01","109.849998474121"
"2004-07-01","108.26000213623"
"2004-08-01","110.849998474121"
"2004-09-01","109.5"
"2004-10-01","110.480003356934"
"2004-11-01","106.449996948242"
"2004-12-01","102.51000213623"
"2005-01-01","102.51000213623"
"2005-02-01","103.639999389648"
"2005-03-01","104.449996948242"
"2005-04-01","107.660003662109"
"2005-05-01","105.099998474121"
"2005-06-01","108.209999084473"
"2005-07-01","111.73999786377"
"2005-08-01","111.389999389648"
"2005-09-01","109.800003051758"
"2005-10-01","113.459999084473"
"2005-11-01","116.76000213623"
"2005-12-01","120.410003662109"
"2006-01-01","117.980003356934"
"2006-02-01","117.970001220703"
"2006-03-01","116.059997558594"
"2006-04-01","117.76000213623"
"2006-05-01","113.360000610352"
"2006-06-01","111.730003356934"
"2006-07-01","114.48999786377"
"2006-08-01","114.559997558594"
"2006-09-01","117.059997558594"
"2006-10-01","117.660003662109"
"2006-11-01","117.220001220703"
"2006-12-01","115.230003356934"
"2007-01-01","118.879997253418"
"2007-02-01","120.800003051758"
"2007-03-01","117.720001220703"
"2007-04-01","117.76000213623"
"2007-05-01","120.160003662109"
"2007-06-01","122.129997253418"
"2007-07-01","122.230003356934"
"2007-08-01","119.139999389648"
"2007-09-01","115.769996643066"
"2007-10-01","115.709999084473"
"2007-11-01","114.459999084473"
"2007-12-01","111.76000213623"
"2008-01-01","111.819999694824"
"2008-02-01","106.51000213623"
"2008-03-01","103.769996643066"
"2008-04-01","102.290000915527"
"2008-05-01","105.300003051758"
"2008-06-01","104.480003356934"
"2008-07-01","105.940002441406"
"2008-08-01","107.809997558594"
"2008-09-01","108.650001525879"
"2008-10-01","105.209999084473"
"2008-11-01","98.4400024414062"
"2008-12-01","93.1399993896484"
"2009-01-01","90.6669998168945"
"2009-02-01","89.9000015258789"
"2009-03-01","97.620002746582"
"2009-04-01","99.5599975585938"
"2009-05-01","99.1900024414062"
"2009-06-01","95.6009979248047"
"2009-07-01","95.9520034790039"
"2009-08-01","94.6399993896484"
"2009-09-01","92.2089996337891"
"2009-10-01","89.6100006103516"
"2009-11-01","90.0899963378906"
"2009-12-01","86.6500015258789"
"2010-01-01","92.9199981689453"
"2010-02-01","90.7600021362305"
"2010-03-01","89.1500015258789"
"2010-04-01","94.5299987792969"
"2010-05-01","93.8300018310547"
"2010-06-01","92.1900024414062"
"2010-07-01","87.7900009155273"
"2010-08-01","86.5979995727539"
"2010-09-01","84.4069976806641"
"2010-10-01","83.5699996948242"
"2010-11-01","80.4059982299805"
"2010-12-01","83.6780014038086"
"2011-01-01","81.4800033569336"
"2011-02-01","82.0699996948242"
"2011-03-01","81.8730010986328"
"2011-04-01","83.3600006103516"
"2011-05-01","81.2269973754883"
